Index,Stock Value,Weighted Average,Sigma,Portfolio Value
470,95.46,97.5648,2.33044,90.1279
471,95.41,97.5002,2.32996,90.0807
472,95.04,97.4264,2.33008,89.7314
473,94.835,97.3486,2.33048,89.5378
474,94.855,97.2738,2.33067,89.5567
475,94.62,97.1942,2.33121,89.3348
476,94.675,97.1186,2.33145,89.3868
477,94.8319,97.05,2.33122,89.5349
478,94.75,96.981,2.33101,89.4576
479,93.97,96.8907,2.3324,88.7211
480,95.225,96.8407,2.33113,89.906
481,95.155,96.7902,2.32991,89.8399
482,95.14,96.7406,2.32863,89.8258
483,94.845,96.6838,2.32773,89.5473
484,94.29,96.612,2.32771,89.0233
485,94.22,96.5402,2.3277,88.9572
486,93.42,96.4466,2.32935,88.2019
487,92.61,96.3315,2.33305,87.4371
488,92.58,96.219,2.33647,87.4088
489,92.57,96.1095,2.33955,87.3994
490,92.5,96.0012,2.3425,87.3333
491,92.37,95.8923,2.3455,87.2105
492,91.7406,95.7677,2.35013,86.6163
493,91.58,95.6421,2.35485,86.4647
494,91.46,95.5166,2.35953,86.3514
495,91.4805,95.3955,2.3637,86.3707
496,91.39,95.2754,2.36774,86.2853
497,91.02,95.1477,2.37258,85.9359
498,90.82,95.0179,2.37764,85.7471
499,90.955,94.896,2.38179,85.8746
500,90,94.7491,2.38886,84.9729
501,90.54,94.6228,2.39342,85.4828
502,90.675,94.5044,2.39713,85.6102
503,90.68,94.3897,2.40045,85.6149
504,90.42,94.2706,2.40418,85.3695
505,90.555,94.1591,2.40714,85.4969
506,90.34,94.0445,2.41039,85.2939
507,90,93.9232,2.4143,84.9729
508,90.51,93.8208,2.41639,85.4544
509,90.38,93.7176,2.41854,85.3317
510,90.5488,93.6225,2.41999,85.4911
511,90.25,93.5213,2.42195,85.209
512,90.02,93.4163,2.42423,84.9918
513,89.9,93.3108,2.42654,84.8785
514,90.56,93.2283,2.42703,85.5016
515,89.97,93.1305,2.42866,84.9446
516,89.835,93.0317,2.43038,84.8171
517,89.47,92.9248,2.43278,84.4725
518,89.27,92.8152,2.43541,84.2837
519,89.66,92.7205,2.43677,84.6519
520,89.58,92.6263,2.43808,84.5764
521,88.9375,92.5156,2.44077,83.9698
522,88.87,92.4063,2.44334,83.906
523,89.395,92.3159,2.44434,84.4017
524,89.7701,92.2396,2.44439,84.7559
525,89.34,92.1526,2.44514,84.3498
526,89.34,92.0682,2.44571,84.3498
527,89.445,91.9895,2.4459,84.4489
528,99.37,92.2109,2.46333,93.8195
529,96.5,92.3396,2.46763,91.1099
530,95.22,92.426,2.46829,89.9013
531,95.195,92.5091,2.46871,89.8777
532,95.84,92.609,2.47036,90.4867
533,95.8,92.7047,2.47168,90.449
534,95.77,92.7967,2.47271,90.4206
535,96.2,92.8988,2.47452,90.8266
536,94.1632,92.9367,2.47278,88.9036
537,94.805,92.9928,2.47172,89.5095
538,94.455,93.0366,2.47018,89.1791
539,94.52,93.0811,2.46867,89.2404
540,94.65,93.1282,2.46725,89.3632
541,94.7,93.1754,2.46584,89.4104
542,94.32,93.2097,2.46403,89.0516
543,95.0399,93.2646,2.46294,89.7313
544,94.72,93.3083,2.46143,89.4293
545,95.1,93.362,2.46029,89.788
546,94.99,93.4109,2.45897,89.6842
547,94.9018,93.4556,2.4575,89.6009
548,94.89,93.4986,2.45598,89.5898
549,95.58,93.5611,2.45526,90.2412
550,95.48,93.6186,2.45431,90.1468
551,95.59,93.6778,2.45344,90.2507
552,95.67,93.7375,2.4526,90.3262
553,95.64,93.7946,2.45163,90.2979
554,95.71,93.8521,2.45069,90.364
555,96,93.9165,2.45008,90.6378
556,95.79,93.9727,2.44909,90.4395
557,95.96,94.0323,2.44826,90.6
558,95.57,94.0785,2.44688,90.2318
559,95.93,94.134,2.44587,90.5717
560,95.695,94.1808,2.44453,90.3498
561,95.93,94.2333,2.4434,90.5717
562,95.97,94.2854,2.44226,90.6095
563,95.79,94.3306,2.44087,90.4395
564,95.68,94.371,2.43933,90.3357
565,96.62,94.4385,2.4389,91.2232
566,96.98,94.5147,2.43895,91.563
567,97.4,94.6013,2.43963,91.9596
568,97.47,94.6874,2.44027,92.0257
569,97.305,94.7659,2.44045,91.8699
570,96.78,94.8263,2.43968,91.3742
571,96.5,94.8765,2.43849,91.1099
572,96.1,94.9132,2.43687,90.7322
573,96.18,94.9512,2.43528,90.8077
574,96.48,94.9971,2.43395,91.091
575,96.955,95.0558,2.43312,91.5394
576,97.055,95.1158,2.43235,91.6339
577,97.25,95.1798,2.43177,91.818
578,98.605,95.2826,2.43359,93.0973
579,98.655,95.3838,2.43529,93.1445
580,98.15,95.4668,2.43573,92.6677
581,98.04,95.5439,2.43584,92.5638
582,97.585,95.6052,2.43513,92.1342
583,97.495,95.6619,2.43423,92.0493
584,98.31,95.7413,2.43446,92.8187
585,98.7,95.8301,2.43527,93.187
586,98.35,95.9057,2.43529,92.8565
587,98.4,95.9805,2.43526,92.9037
588,98.375,96.0523,2.43507,92.8801
589,98.44,96.124,2.43488,92.9415
590,98.46,96.1941,2.4346,92.9604
591,99.54,96.2944,2.4362,93.98
592,99.1,96.3786,2.43671,93.5646
593,99.34,96.4674,2.43751,93.7912
594,99.42,96.556,2.43829,93.8667
595,98.75,96.6218,2.4378,93.2342
596,98.845,96.6885,2.43736,93.3239
597,99.13,96.7618,2.43724,93.5929
598,99.585,96.8465,2.43778,94.0225
599,100.23,96.948,2.43943,94.6315
600,100.105,97.0427,2.44059,94.5135
601,100.36,97.1422,2.44209,94.7542
602,99.63,97.2168,2.44204,94.065
603,99.97,97.2994,2.44244,94.386
604,99.94,97.3787,2.44264,94.3577
605,99.72,97.4489,2.44237,94.15
606,101.93,97.5833,2.44672,96.2365
607,102.07,97.7179,2.45107,96.3687
608,102.18,97.8518,2.45533,96.4726
609,102.37,97.9873,2.45973,96.652
610,102.42,98.1203,2.46386,96.6992
611,102.52,98.2523,2.46789,96.7936
612,101.97,98.3638,2.47017,96.2743
613,102.74,98.4951,2.47409,97.0013
614,102.86,98.6261,2.47797,97.1146
615,103.25,98.7648,2.48255,97.4828
616,102.84,98.887,2.48563,97.0957
617,102.95,99.0089,2.48867,97.1996
618,103.115,99.1321,2.49181,97.3554
619,102.97,99.2472,2.49429,97.2185
620,103.155,99.3645,2.49691,97.3931
621,103.235,99.4806,2.49944,97.4687
622,103.17,99.5913,2.50155,97.4073
623,103.44,99.7067,2.50401,97.6622
624,103.35,99.816,2.50599,97.5772
625,103.59,99.9293,2.50826,97.8038
626,103.77,100.044,2.51067,97.9738
627,103.31,100.142,2.51186,97.5395
628,103.48,100.243,2.51318,97.7
629,103.59,100.343,2.51451,97.8038
630,104.3,100.462,2.51716,98.4742
631,103.56,100.555,2.51801,97.7755
632,103.205,100.634,2.51809,97.4403
633,103.32,100.715,2.51823,97.5489
634,103,100.783,2.51778,97.2468
635,102.91,100.847,2.51713,97.1618
636,102.91,100.909,2.51641,97.1618
637,103.02,100.972,2.51574,97.2657
638,102.74,101.025,2.51469,97.0013
639,102.76,101.077,2.5136,97.0202
640,102.21,101.111,2.51201,96.5009
641,102.93,101.166,2.51102,97.1807
642,103.04,101.222,2.51009,97.2845
643,103.03,101.276,2.50909,97.2751
644,103.56,101.345,2.50867,97.7755
645,103.55,101.411,2.50814,97.7661
