SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.238R
DeviceName: Sensoria-C1-52AB
SerialNumber: C88ED8C159C3D31B
Location: 0x0001
Start: 2024-08-31T17:03:24+02:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,12958,2420,442,652,388,-0.109375,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:27.035,
,,12959,2440,441,654,387,-0.109375,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:27.036,
,,12960,2460,442,653,387,-0.109375,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:27.065,
,,12961,2480,442,653,387,-0.109375,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:27.096,
,,12962,2500,442,651,388,-0.109375,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:27.096,
,,12963,2520,441,652,387,-0.109375,0.972656,0.117188,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:27.128,
,,12964,2540,442,652,388,-0.109375,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:27.155,
,,12965,2560,443,653,388,-0.109375,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:27.156,
,,12966,2580,441,652,387,-0.109375,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:27.185,
,,12967,2600,442,653,387,-0.109375,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:27.239,
,,12968,2620,441,653,387,-0.101562,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:27.240,
,,12969,2640,443,652,388,-0.101562,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-60,17:03:27.249,
,,12970,2660,440,652,388,-0.101562,0.972656,0.113281,-1.120000,-3.360000,-4.480000,0.607360,-0.093440,-0.541952,,0,0,0,0,0,,,,,,,,,-65,17:03:27.281,
